rank;infinitiv;Ind_Präsens_1S;Ind_Präsens_2S;Indicatif_Présent_il_(elle,_on);Ind_Präsens_1P;Ind_Präsens_2P;Indicatif_Présent_ils_(elles);Imperatif_Imperatif_Présent_;Partizip_Präsens;Participe_Participe_Passé_masculin_singulier;Participe_Participe_Passé_feminin_singulier;Participe_Participe_Passé_masculin_pluriel;Participe_Participe_Passé_feminin_pluriel;Ind_Futur_1S;Ind_Futur_2S;Indicatif_Futur_il_(elle,_on);Ind_Futur_1P;Ind_Futur_2P;Indicatif_Futur_ils_(elles);Ind_Imperfekt_1S;Ind_Imperfekt_2S;Indicatif_Imparfait_il_(elle,_on);Ind_Imperfekt_1P;Ind_Imperfekt_2P;Indicatif_Imparfait_ils_(elles);Cond_Präsens_1S;Cond_Präsens_2S;Conditionnel_Présent_il_(elle,_on);Cond_Präsens_1P;Cond_Präsens_2P;Conditionnel_Présent_ils_(elles);Subjonctif_Présent_je;Subjonctif_Présent_tu;Subjonctif_Présent_il_(elle,_on);Subjonctif_Présent_nous;Subjonctif_Présent_vous;Subjonctif_Présent_ils_(elles);Indicatif_Passé_Simple_je;Indicatif_Passé_Simple_tu;Indicatif_Passé_Simple_il_(elle,_on);Indicatif_Passé_Simple_nous;Indicatif_Passé_Simple_vous;Indicatif_Passé_Simple_ils_(elles);Subjonctif_Imparfait_je;Subjonctif_Imparfait_tu;Subjonctif_Imparfait_il_(elle,_on);Subjonctif_Imparfait_nous;Subjonctif_Imparfait_vous;Subjonctif_Imparfait_ils_(elles)
6371;réchauffer;réchauffe;réchauffes;réchauffe;réchauffons;réchauffez;réchauffent;réchauffez;réchauffant;réchauffé;réchauffée;réchauffés;réchauffées;réchaufferai;réchaufferas;réchauffera;réchaufferons;réchaufferez;réchaufferont;réchauffais;réchauffais;réchauffait;réchauffions;réchauffiez;réchauffaient;réchaufferais;réchaufferais;réchaufferait;réchaufferions;réchaufferiez;réchaufferaient;réchauffe;réchauffes;réchauffe;réchauffions;réchauffiez;réchauffent;réchauffai;réchauffas;réchauffa;réchauffâmes;réchauffâtes;réchauffèrent;réchauffasse;réchauffasses;réchauffât;réchauffassions;réchauffassiez;réchauffassent
6373;assembler;assemble;assembles;assemble;assemblons;assemblez;assemblent;assemblez;assemblant;assemblé;assemblée;assemblés;assemblées;assemblerai;assembleras;assemblera;assemblerons;assemblerez;assembleront;assemblais;assemblais;assemblait;assemblions;assembliez;assemblaient;assemblerais;assemblerais;assemblerait;assemblerions;assembleriez;assembleraient;assemble;assembles;assemble;assemblions;assembliez;assemblent;assemblai;assemblas;assembla;assemblâmes;assemblâtes;assemblèrent;assemblasse;assemblasses;assemblât;assemblassions;assemblassiez;assemblassent
6379;télécharger;télécharge;télécharges;télécharge;téléchargeons;téléchargez;téléchargent;téléchargez;téléchargeant;téléchargé;téléchargée;téléchargés;téléchargées;téléchargerai;téléchargeras;téléchargera;téléchargerons;téléchargerez;téléchargeront;téléchargeais;téléchargeais;téléchargeait;téléchargions;téléchargiez;téléchargeaient;téléchargerais;téléchargerais;téléchargerait;téléchargerions;téléchargeriez;téléchargeraient;télécharge;télécharges;télécharge;téléchargions;téléchargiez;téléchargent;téléchargeai;téléchargeas;téléchargea;téléchargeâmes;téléchargeâtes;téléchargèrent;téléchargeasse;téléchargeasses;téléchargeât;téléchargeassions;téléchargeassiez;téléchargeassent
6387;havre;his;his;hit;hivons;hivez;hivent;hivez;hivant;hécu;hécue;hécus;hécues;hivrai;hivras;hivra;hivrons;hivrez;hivront;hivais;hivais;hivait;hivions;hiviez;hivaient;hivrais;hivrais;hivrait;hivrions;hivriez;hivraient;hive;hives;hive;hivions;hiviez;hivent;hécus;hécus;hécut;hécûmes;hécûtes;hécurent;hécusse;hécusses;hécût;hécussions;hécussiez;hécussent
6400;colorer;colore;colores;colore;colorons;colorez;colorent;colorez;colorant;coloré;colorée;colorés;colorées;colorerai;coloreras;colorera;colorerons;colorerez;coloreront;colorais;colorais;colorait;colorions;coloriez;coloraient;colorerais;colorerais;colorerait;colorerions;coloreriez;coloreraient;colore;colores;colore;colorions;coloriez;colorent;colorai;coloras;colora;colorâmes;colorâtes;colorèrent;colorasse;colorasses;colorât;colorassions;colorassiez;colorassent
6405;répertorier;répertorie;répertories;répertorie;répertorions;répertoriez;répertorient;répertoriez;répertoriant;répertorié;répertoriée;répertoriés;répertoriées;répertorierai;répertorieras;répertoriera;répertorierons;répertorierez;répertorieront;répertoriais;répertoriais;répertoriait;répertoriions;répertoriiez;répertoriaient;répertorierais;répertorierais;répertorierait;répertorierions;répertorieriez;répertorieraient;répertorie;répertories;répertorie;répertoriions;répertoriiez;répertorient;répertoriai;répertorias;répertoria;répertoriâmes;répertoriâtes;répertorièrent;répertoriasse;répertoriasses;répertoriât;répertoriassions;répertoriassiez;répertoriassent
6406;endosser;endosse;endosses;endosse;endossons;endossez;endossent;endossez;endossant;endossé;endossée;endossés;endossées;endosserai;endosseras;endossera;endosserons;endosserez;endosseront;endossais;endossais;endossait;endossions;endossiez;endossaient;endosserais;endosserais;endosserait;endosserions;endosseriez;endosseraient;endosse;endosses;endosse;endossions;endossiez;endossent;endossai;endossas;endossa;endossâmes;endossâtes;endossèrent;endossasse;endossasses;endossât;endossassions;endossassiez;endossassent
6412;marbre;mards;mards;mard;mardons;mardez;mardent;mardez;mardant;mardu;mardue;mardus;mardues;mardrai;mardras;mardra;mardrons;mardrez;mardront;mardais;mardais;mardait;mardions;mardiez;mardaient;mardrais;mardrais;mardrait;mardrions;mardriez;mardraient;marde;mardes;marde;mardions;mardiez;mardent;mardis;mardis;mardit;mardîmes;mardîtes;mardirent;mardisse;mardisses;mardît;mardissions;mardissiez;mardissent
6413;repasser;repasse;repasses;repasse;repassons;repassez;repassent;repassez;repassant;repassé;repassée;repassés;repassées;repasserai;repasseras;repassera;repasserons;repasserez;repasseront;repassais;repassais;repassait;repassions;repassiez;repassaient;repasserais;repasserais;repasserait;repasserions;repasseriez;repasseraient;repasse;repasses;repasse;repassions;repassiez;repassent;repassai;repassas;repassa;repassâmes;repassâtes;repassèrent;repassasse;repassasses;repassât;repassassions;repassassiez;repassassent
6432;plaidoyer;plaidoie;plaidoies;plaidoie;plaidoyons;plaidoyez;plaidoient;plaidoyez;plaidoyant;plaidoyé;plaidoyée;plaidoyés;plaidoyées;plaidoierai;plaidoieras;plaidoiera;plaidoierons;plaidoierez;plaidoieront;plaidoyais;plaidoyais;plaidoyait;plaidoyions;plaidoyiez;plaidoyaient;plaidoierais;plaidoierais;plaidoierait;plaidoierions;plaidoieriez;plaidoieraient;plaidoie;plaidoies;plaidoie;plaidoyions;plaidoyiez;plaidoient;plaidoyai;plaidoyas;plaidoya;plaidoyâmes;plaidoyâtes;plaidoyèrent;plaidoyasse;plaidoyasses;plaidoyât;plaidoyassions;plaidoyassiez;plaidoyassent
6434;mercenaire;mercenais;mercenais;mercenait;mercenaisons;mercenaites;mercenont;mercenaites;mercenaisant;mercenait;mercenaite;mercenaits;mercenaites;mercenerai;merceneras;mercenera;mercenerons;mercenerez;merceneront;mercenaisais;mercenaisais;mercenaisait;mercenaisions;mercenaisiez;mercenaisaient;mercenerais;mercenerais;mercenerait;mercenerions;merceneriez;merceneraient;mercenasse;mercenasses;mercenasse;mercenassions;mercenassiez;mercenassent;mercenis;mercenis;mercenit;mercenîmes;mercenîtes;mercenirent;mercenisse;mercenisses;mercenît;mercenissions;mercenissiez;mercenissent
6436;allonger;allonge;allonges;allonge;allongeons;allongez;allongent;allongez;allongeant;allongé;allongée;allongés;allongées;allongerai;allongeras;allongera;allongerons;allongerez;allongeront;allongeais;allongeais;allongeait;allongions;allongiez;allongeaient;allongerais;allongerais;allongerait;allongerions;allongeriez;allongeraient;allonge;allonges;allonge;allongions;allongiez;allongent;allongeai;allongeas;allongea;allongeâmes;allongeâtes;allongèrent;allongeasse;allongeasses;allongeât;allongeassions;allongeassiez;allongeassent
6441;alléger;allège;allèges;allège;allégeons;allégez;allègent;allégez;allégeant;allégé;allégée;allégés;allégées;allègerai;allègeras;allègera;allègerons;allègerez;allègeront;allégeais;allégeais;allégeait;allégions;allégiez;allégeaient;allègerais;allègerais;allègerait;allègerions;allègeriez;allègeraient;allège;allèges;allège;allégions;allégiez;allègent;allégeai;allégeas;allégea;allégeâmes;allégeâtes;allégèrent;allégeasse;allégeasses;allégeât;allégeassions;allégeassiez;allégeassent
6450;craquer;craque;craques;craque;craquons;craquez;craquent;craquez;craquant;craqué;craquée;craqués;craquées;craquerai;craqueras;craquera;craquerons;craquerez;craqueront;craquais;craquais;craquait;craquions;craquiez;craquaient;craquerais;craquerais;craquerait;craquerions;craqueriez;craqueraient;craque;craques;craque;craquions;craquiez;craquent;craquai;craquas;craqua;craquâmes;craquâtes;craquèrent;craquasse;craquasses;craquât;craquassions;craquassiez;craquassent
6454;planétaire;planétais;planétais;planétait;planétaisons;planétaites;planétont;planétaites;planétaisant;planétait;planétaite;planétaits;planétaites;planéterai;planéteras;planétera;planéterons;planéterez;planéteront;planétaisais;planétaisais;planétaisait;planétaisions;planétaisiez;planétaisaient;planéterais;planéterais;planéterait;planéterions;planéteriez;planéteraient;planétasse;planétasses;planétasse;planétassions;planétassiez;planétassent;planétis;planétis;planétit;planétîmes;planétîtes;planétirent;planétisse;planétisses;planétît;planétissions;planétissiez;planétissent
6462;calibre;calis;calis;calit;calivons;calivez;calivent;calivez;calivant;calécu;calécue;calécus;calécues;calivrai;calivras;calivra;calivrons;calivrez;calivront;calivais;calivais;calivait;calivions;caliviez;calivaient;calivrais;calivrais;calivrait;calivrions;calivriez;calivraient;calive;calives;calive;calivions;caliviez;calivent;calécus;calécus;calécut;calécûmes;calécûtes;calécurent;calécusse;calécusses;calécût;calécussions;calécussiez;calécussent
6466;harceler;harcelle;harcelles;harcelle;harcelons;harcelez;harcellent;harcelez;harcelant;harcelé;harcelée;harcelés;harcelées;harcellerai;harcelleras;harcellera;harcellerons;harcellerez;harcelleront;harcelais;harcelais;harcelait;harcelions;harceliez;harcelaient;harcellerais;harcellerais;harcellerait;harcellerions;harcelleriez;harcelleraient;harcelle;harcelles;harcelle;harcelions;harceliez;harcellent;harcelai;harcelas;harcela;harcelâmes;harcelâtes;harcelèrent;harcelasse;harcelasses;harcelât;harcelassions;harcelassiez;harcelassent
6470;triompher;triomphe;triomphes;triomphe;triomphons;triomphez;triomphent;triomphez;triomphant;triomphé;triomphée;triomphés;triomphées;triompherai;triompheras;triomphera;triompherons;triompherez;triompheront;triomphais;triomphais;triomphait;triomphions;triomphiez;triomphaient;triompherais;triompherais;triompherait;triompherions;triompheriez;triompheraient;triomphe;triomphes;triomphe;triomphions;triomphiez;triomphent;triomphai;triomphas;triompha;triomphâmes;triomphâtes;triomphèrent;triomphasse;triomphasses;triomphât;triomphassions;triomphassiez;triomphassent
6473;comptoir;;;comptoit;;;comptoient;;comptéant;comptu;comptue;comptus;comptues;;;comptoira;;;comptoiront;;;comptoyait;;;comptoyaient;;;comptoirait;;;comptoiraient;;;comptoie;;;comptoient;;;comptut;;;compturent;;;comptût;;;comptussent
6481;parier;parie;paries;parie;parions;pariez;parient;pariez;pariant;parié;pariée;pariés;pariées;parierai;parieras;pariera;parierons;parierez;parieront;pariais;pariais;pariait;pariions;pariiez;pariaient;parierais;parierais;parierait;parierions;parieriez;parieraient;parie;paries;parie;pariions;pariiez;parient;pariai;parias;paria;pariâmes;pariâtes;parièrent;pariasse;pariasses;pariât;pariassions;pariassiez;pariassent
6488;carter;carte;cartes;carte;cartons;cartez;cartent;cartez;cartant;carté;cartée;cartés;cartées;carterai;carteras;cartera;carterons;carterez;carteront;cartais;cartais;cartait;cartions;cartiez;cartaient;carterais;carterais;carterait;carterions;carteriez;carteraient;carte;cartes;carte;cartions;cartiez;cartent;cartai;cartas;carta;cartâmes;cartâtes;cartèrent;cartasse;cartasses;cartât;cartassions;cartassiez;cartassent
6491;ébranler;ébranle;ébranles;ébranle;ébranlons;ébranlez;ébranlent;ébranlez;ébranlant;ébranlé;ébranlée;ébranlés;ébranlées;ébranlerai;ébranleras;ébranlera;ébranlerons;ébranlerez;ébranleront;ébranlais;ébranlais;ébranlait;ébranlions;ébranliez;ébranlaient;ébranlerais;ébranlerais;ébranlerait;ébranlerions;ébranleriez;ébranleraient;ébranle;ébranles;ébranle;ébranlions;ébranliez;ébranlent;ébranlai;ébranlas;ébranla;ébranlâmes;ébranlâtes;ébranlèrent;ébranlasse;ébranlasses;ébranlât;ébranlassions;ébranlassiez;ébranlassent
6492;dépeindre;dépeins;dépeins;dépeint;dépeignons;dépeignez;dépeignent;dépeignez;dépeignant;dépeint;dépeinte;dépeints;dépeintes;dépeindrai;dépeindras;dépeindra;dépeindrons;dépeindrez;dépeindront;dépeignais;dépeignais;dépeignait;dépeignions;dépeigniez;dépeignaient;dépeindrais;dépeindrais;dépeindrait;dépeindrions;dépeindriez;dépeindraient;dépeigne;dépeignes;dépeigne;dépeignions;dépeigniez;dépeignent;dépeignis;dépeignis;dépeignit;dépeignîmes;dépeignîtes;dépeignirent;dépeignisse;dépeignisses;dépeignît;dépeignissions;dépeignissiez;dépeignissent
6498;entrevoir;entrevois;entrevois;entrevoit;entrevoyons;entrevoyez;entrevoient;entrevoyez;entrevoyant;entrevu;entrevue;entrevus;entrevues;entreverrai;entreverras;entreverra;entreverrons;entreverrez;entreverront;entrevoyais;entrevoyais;entrevoyait;entrevoyions;entrevoyiez;entrevoyaient;entreverrais;entreverrais;entreverrait;entreverrions;entreverriez;entreverraient;entrevoie;entrevoies;entrevoie;entrevoyions;entrevoyiez;entrevoient;entrevis;entrevis;entrevit;entrevîmes;entrevîtes;entrevirent;entrevisse;entrevisses;entrevît;entrevissions;entrevissiez;entrevissent
6505;river;rive;rives;rive;rivons;rivez;rivent;rivez;rivant;rivé;rivée;rivés;rivées;riverai;riveras;rivera;riverons;riverez;riveront;rivais;rivais;rivait;rivions;riviez;rivaient;riverais;riverais;riverait;riverions;riveriez;riveraient;rive;rives;rive;rivions;riviez;rivent;rivai;rivas;riva;rivâmes;rivâtes;rivèrent;rivasse;rivasses;rivât;rivassions;rivassiez;rivassent
6506;concessionnaire;concessionnais;concessionnais;concessionnait;concessionnaisons;concessionnaites;concessionnont;concessionnaites;concessionnaisant;concessionnait;concessionnaite;concessionnaits;concessionnaites;concessionnerai;concessionneras;concessionnera;concessionnerons;concessionnerez;concessionneront;concessionnaisais;concessionnaisais;concessionnaisait;concessionnaisions;concessionnaisiez;concessionnaisaient;concessionnerais;concessionnerais;concessionnerait;concessionnerions;concessionneriez;concessionneraient;concessionnasse;concessionnasses;concessionnasse;concessionnassions;concessionnassiez;concessionnassent;concessionnis;concessionnis;concessionnit;concessionnîmes;concessionnîtes;concessionnirent;concessionnisse;concessionnisses;concessionnît;concessionnissions;concessionnissiez;concessionnissent
6507;guérir;guéris;guéris;guérit;guérissons;guérissez;guérissent;guérissez;guérissant;guéri;guérie;guéris;guéries;guérirai;guériras;guérira;guérirons;guérirez;guériront;guérissais;guérissais;guérissait;guérissions;guérissiez;guérissaient;guérirais;guérirais;guérirait;guéririons;guéririez;guériraient;guérisse;guérisses;guérisse;guérissions;guérissiez;guérissent;guéris;guéris;guérit;guérîmes;guérîtes;guérirent;guérisse;guérisses;guérît;guérissions;guérissiez;guérissent
6515;centenaire;centenais;centenais;centenait;centenaisons;centenaites;centenont;centenaites;centenaisant;centenait;centenaite;centenaits;centenaites;centenerai;centeneras;centenera;centenerons;centenerez;centeneront;centenaisais;centenaisais;centenaisait;centenaisions;centenaisiez;centenaisaient;centenerais;centenerais;centenerait;centenerions;centeneriez;centeneraient;centenasse;centenasses;centenasse;centenassions;centenassiez;centenassent;centenis;centenis;centenit;centenîmes;centenîtes;centenirent;centenisse;centenisses;centenît;centenissions;centenissiez;centenissent
6516;tyler;tyle;tyles;tyle;tylons;tylez;tylent;tylez;tylant;tylé;tylée;tylés;tylées;tylerai;tyleras;tylera;tylerons;tylerez;tyleront;tylais;tylais;tylait;tylions;tyliez;tylaient;tylerais;tylerais;tylerait;tylerions;tyleriez;tyleraient;tyle;tyles;tyle;tylions;tyliez;tylent;tylai;tylas;tyla;tylâmes;tylâtes;tylèrent;tylasse;tylasses;tylât;tylassions;tylassiez;tylassent
6517;maigre;maois;maois;maoit;maoyons;maoyez;maoient;maoyez;maoyant;mau;maue;maus;maues;maoirai;maoiras;maoira;maoirons;maoirez;maoiront;maoyais;maoyais;maoyait;maoyions;maoyiez;maoyaient;maoirais;maoirais;maoirait;maoirions;maoiriez;maoiraient;maoie;maoies;maoie;maoyions;maoyiez;maoient;maus;maus;maut;maûmes;maûtes;maurent;mausse;mausses;maût;maussions;maussiez;maussent
6518;trahir;trahis;trahis;trahit;trahissons;trahissez;trahissent;trahissez;trahissant;trahi;trahie;trahis;trahies;trahirai;trahiras;trahira;trahirons;trahirez;trahiront;trahissais;trahissais;trahissait;trahissions;trahissiez;trahissaient;trahirais;trahirais;trahirait;trahirions;trahiriez;trahiraient;trahisse;trahisses;trahisse;trahissions;trahissiez;trahissent;trahis;trahis;trahit;trahîmes;trahîtes;trahirent;trahisse;trahisses;trahît;trahissions;trahissiez;trahissent
6526;signataire;signatais;signatais;signatait;signataisons;signataites;signatont;signataites;signataisant;signatait;signataite;signataits;signataites;signaterai;signateras;signatera;signaterons;signaterez;signateront;signataisais;signataisais;signataisait;signataisions;signataisiez;signataisaient;signaterais;signaterais;signaterait;signaterions;signateriez;signateraient;signatasse;signatasses;signatasse;signatassions;signatassiez;signatassent;signatis;signatis;signatit;signatîmes;signatîtes;signatirent;signatisse;signatisses;signatît;signatissions;signatissiez;signatissent
6528;comptabiliser;comptabilise;comptabilises;comptabilise;comptabilisons;comptabilisez;comptabilisent;comptabilisez;comptabilisant;comptabilisé;comptabilisée;comptabilisés;comptabilisées;comptabiliserai;comptabiliseras;comptabilisera;comptabiliserons;comptabiliserez;comptabiliseront;comptabilisais;comptabilisais;comptabilisait;comptabilisions;comptabilisiez;comptabilisaient;comptabiliserais;comptabiliserais;comptabiliserait;comptabiliserions;comptabiliseriez;comptabiliseraient;comptabilise;comptabilises;comptabilise;comptabilisions;comptabilisiez;comptabilisent;comptabilisai;comptabilisas;comptabilisa;comptabilisâmes;comptabilisâtes;comptabilisèrent;comptabilisasse;comptabilisasses;comptabilisât;comptabilisassions;comptabilisassiez;comptabilisassent
6533;différer;diffère;diffères;diffère;différons;différez;diffèrent;différez;différant;différé;différée;différés;différées;différerai;différeras;différera;différerons;différerez;différeront;différais;différais;différait;différions;différiez;différaient;différerais;différerais;différerait;différerions;différeriez;différeraient;diffère;diffères;diffère;différions;différiez;diffèrent;différai;différas;différa;différâmes;différâtes;différèrent;différasse;différasses;différât;différassions;différassiez;différassent
6538;keir;keis;keis;keit;keissons;keissez;keissent;keissez;keissant;kei;keie;keis;keies;keirai;keiras;keira;keirons;keirez;keiront;keissais;keissais;keissait;keissions;keissiez;keissaient;keirais;keirais;keirait;keirions;keiriez;keiraient;keisse;keisses;keisse;keissions;keissiez;keissent;keis;keis;keit;keîmes;keîtes;keirent;keisse;keisses;keît;keissions;keissiez;keissent
6541;ancêtre;ancis;ancis;ancit;ancivons;ancivez;ancivent;ancivez;ancivant;ancécu;ancécue;ancécus;ancécues;ancivrai;ancivras;ancivra;ancivrons;ancivrez;ancivront;ancivais;ancivais;ancivait;ancivions;anciviez;ancivaient;ancivrais;ancivrais;ancivrait;ancivrions;ancivriez;ancivraient;ancive;ancives;ancive;ancivions;anciviez;ancivent;ancécus;ancécus;ancécut;ancécûmes;ancécûtes;ancécurent;ancécusse;ancécusses;ancécût;ancécussions;ancécussiez;ancécussent
6543;oliver;olive;olives;olive;olivons;olivez;olivent;olivez;olivant;olivé;olivée;olivés;olivées;oliverai;oliveras;olivera;oliverons;oliverez;oliveront;olivais;olivais;olivait;olivions;oliviez;olivaient;oliverais;oliverais;oliverait;oliverions;oliveriez;oliveraient;olive;olives;olive;olivions;oliviez;olivent;olivai;olivas;oliva;olivâmes;olivâtes;olivèrent;olivasse;olivasses;olivât;olivassions;olivassiez;olivassent
6556;regorger;regorge;regorges;regorge;regorgeons;regorgez;regorgent;regorgez;regorgeant;regorgé;regorgée;regorgés;regorgées;regorgerai;regorgeras;regorgera;regorgerons;regorgerez;regorgeront;regorgeais;regorgeais;regorgeait;regorgions;regorgiez;regorgeaient;regorgerais;regorgerais;regorgerait;regorgerions;regorgeriez;regorgeraient;regorge;regorges;regorge;regorgions;regorgiez;regorgent;regorgeai;regorgeas;regorgea;regorgeâmes;regorgeâtes;regorgèrent;regorgeasse;regorgeasses;regorgeât;regorgeassions;regorgeassiez;regorgeassent
6558;blockbuster;blockbuste;blockbustes;blockbuste;blockbustons;blockbustez;blockbustent;blockbustez;blockbustant;blockbusté;blockbustée;blockbustés;blockbustées;blockbusterai;blockbusteras;blockbustera;blockbusterons;blockbusterez;blockbusteront;blockbustais;blockbustais;blockbustait;blockbustions;blockbustiez;blockbustaient;blockbusterais;blockbusterais;blockbusterait;blockbusterions;blockbusteriez;blockbusteraient;blockbuste;blockbustes;blockbuste;blockbustions;blockbustiez;blockbustent;blockbustai;blockbustas;blockbusta;blockbustâmes;blockbustâtes;blockbustèrent;blockbustasse;blockbustasses;blockbustât;blockbustassions;blockbustassiez;blockbustassent
6566;abaisser;abaisse;abaisses;abaisse;abaissons;abaissez;abaissent;abaissez;abaissant;abaissé;abaissée;abaissés;abaissées;abaisserai;abaisseras;abaissera;abaisserons;abaisserez;abaisseront;abaissais;abaissais;abaissait;abaissions;abaissiez;abaissaient;abaisserais;abaisserais;abaisserait;abaisserions;abaisseriez;abaisseraient;abaisse;abaisses;abaisse;abaissions;abaissiez;abaissent;abaissai;abaissas;abaissa;abaissâmes;abaissâtes;abaissèrent;abaissasse;abaissasses;abaissât;abaissassions;abaissassiez;abaissassent
6580;débrouiller;débrouille;débrouilles;débrouille;débrouillons;débrouillez;débrouillent;débrouillez;débrouillant;débrouillé;débrouillée;débrouillés;débrouillées;débrouillerai;débrouilleras;débrouillera;débrouillerons;débrouillerez;débrouilleront;débrouillais;débrouillais;débrouillait;débrouillions;débrouilliez;débrouillaient;débrouillerais;débrouillerais;débrouillerait;débrouillerions;débrouilleriez;débrouilleraient;débrouille;débrouilles;débrouille;débrouillions;débrouilliez;débrouillent;débrouillai;débrouillas;débrouilla;débrouillâmes;débrouillâtes;débrouillèrent;débrouillasse;débrouillasses;débrouillât;débrouillassions;débrouillassiez;débrouillassent
6582;asséner;assène;assènes;assène;assénons;assénez;assènent;assénez;assénant;asséné;assénée;assénés;assénées;assénerai;asséneras;assénera;assénerons;assénerez;asséneront;assénais;assénais;assénait;assénions;asséniez;assénaient;assénerais;assénerais;assénerait;assénerions;asséneriez;asséneraient;assène;assènes;assène;assénions;asséniez;assènent;assénai;assénas;asséna;assénâmes;assénâtes;assénèrent;assénasse;assénasses;assénât;assénassions;assénassiez;assénassent
6591;fraterniter;fraternite;fraternites;fraternite;fraternitons;fraternitez;fraternitent;fraternitez;fraternitant;fraternité;fraternitée;fraternités;fraternitées;fraterniterai;fraterniteras;fraternitera;fraterniterons;fraterniterez;fraterniteront;fraternitais;fraternitais;fraternitait;fraternitions;fraternitiez;fraternitaient;fraterniterais;fraterniterais;fraterniterait;fraterniterions;fraterniteriez;fraterniteraient;fraternite;fraternites;fraternite;fraternitions;fraternitiez;fraternitent;fraternitai;fraternitas;fraternita;fraternitâmes;fraternitâtes;fraternitèrent;fraternitasse;fraternitasses;fraternitât;fraternitassions;fraternitassiez;fraternitassent
6609;raviver;ravive;ravives;ravive;ravivons;ravivez;ravivent;ravivez;ravivant;ravivé;ravivée;ravivés;ravivées;raviverai;raviveras;ravivera;raviverons;raviverez;raviveront;ravivais;ravivais;ravivait;ravivions;raviviez;ravivaient;raviverais;raviverais;raviverait;raviverions;raviveriez;raviveraient;ravive;ravives;ravive;ravivions;raviviez;ravivent;ravivai;ravivas;raviva;ravivâmes;ravivâtes;ravivèrent;ravivasse;ravivasses;ravivât;ravivassions;ravivassiez;ravivassent
6615;méfier;méfie;méfies;méfie;méfions;méfiez;méfient;méfiez;méfiant;méfié;méfiée;méfiés;méfiées;méfierai;méfieras;méfiera;méfierons;méfierez;méfieront;méfiais;méfiais;méfiait;méfiions;méfiiez;méfiaient;méfierais;méfierais;méfierait;méfierions;méfieriez;méfieraient;méfie;méfies;méfie;méfiions;méfiiez;méfient;méfiai;méfias;méfia;méfiâmes;méfiâtes;méfièrent;méfiasse;méfiasses;méfiât;méfiassions;méfiassiez;méfiassent
6627;claquer;claque;claques;claque;claquons;claquez;claquent;claquez;claquant;claqué;claquée;claqués;claquées;claquerai;claqueras;claquera;claquerons;claquerez;claqueront;claquais;claquais;claquait;claquions;claquiez;claquaient;claquerais;claquerais;claquerait;claquerions;claqueriez;claqueraient;claque;claques;claque;claquions;claquiez;claquent;claquai;claquas;claqua;claquâmes;claquâtes;claquèrent;claquasse;claquasses;claquât;claquassions;claquassiez;claquassent
6631;nuancer;nuance;nuances;nuance;nuançons;nuancez;nuancent;nuancez;nuançant;nuancé;nuancée;nuancés;nuancées;nuancerai;nuanceras;nuancera;nuancerons;nuancerez;nuanceront;nuançais;nuançais;nuançait;nuancions;nuanciez;nuançaient;nuancerais;nuancerais;nuancerait;nuancerions;nuanceriez;nuanceraient;nuance;nuances;nuance;nuancions;nuanciez;nuancent;nuançai;nuanças;nuança;nuançâmes;nuançâtes;nuancèrent;nuançasse;nuançasses;nuançât;nuançassions;nuançassiez;nuançassent
6632;souscrire;souscris;souscris;souscrit;souscrivons;souscrivez;souscrivent;souscrivez;souscrivant;souscrit;souscrite;souscrits;souscrites;souscrirai;souscriras;souscrira;souscrirons;souscrirez;souscriront;souscrivais;souscrivais;souscrivait;souscrivions;souscriviez;souscrivaient;souscrirais;souscrirais;souscrirait;souscririons;souscririez;souscriraient;souscrive;souscrives;souscrive;souscrivions;souscriviez;souscrivent;souscrivis;souscrivis;souscrivit;souscrivîmes;souscrivîtes;souscrivirent;souscrivisse;souscrivisses;souscrivît;souscrivissions;souscrivissiez;souscrivissent
6644;septuagénaire;septuagénais;septuagénais;septuagénait;septuagénaisons;septuagénaisez;septuagénaisent;septuagénaisez;septuagénaisant;septuagénau;septuagénaue;septuagénaus;septuagénaues;septuagénairai;septuagénairas;septuagénaira;septuagénairons;septuagénairez;septuagénairont;septuagénaisais;septuagénaisais;septuagénaisait;septuagénaisions;septuagénaisiez;septuagénaisaient;septuagénairais;septuagénairais;septuagénairait;septuagénairions;septuagénairiez;septuagénairaient;septuagénaise;septuagénaises;septuagénaise;septuagénaisions;septuagénaisiez;septuagénaisent;septuagénaus;septuagénaus;septuagénaut;septuagénaûmes;septuagénaûtes;septuagénaurent;septuagénausse;septuagénausses;septuagénaût;septuagénaussions;septuagénaussiez;septuagénaussent
6645;captiver;captive;captives;captive;captivons;captivez;captivent;captivez;captivant;captivé;captivée;captivés;captivées;captiverai;captiveras;captivera;captiverons;captiverez;captiveront;captivais;captivais;captivait;captivions;captiviez;captivaient;captiverais;captiverais;captiverait;captiverions;captiveriez;captiveraient;captive;captives;captive;captivions;captiviez;captivent;captivai;captivas;captiva;captivâmes;captivâtes;captivèrent;captivasse;captivasses;captivât;captivassions;captivassiez;captivassent
